1
50000 50000
11613 19303 46735
34586 4205 55392
19430 33986 62299
17404 32836 94566
40741 44427 38240
42721 10520 68805
14698 18107 43010
4610 14244 34040
747 2627 72537
38554 28461 31772
47213 44910 50930
31419 4127 62696
4554 30894 88588
14729 34845 77307
30496 45921 82598
8077 20446 16935
45308 18903 69059
5694 29661 73007
2223 2787 56117
45228 41235 7007
44840 41162 21027
23809 25153 53251
4613 39653 77802
41674 24426 47643
16210 5880 31892
31327 22610 63881
44789 14009 92679
21924 31100 41101
19587 22874 57583
13984 11721 86970
22060 48445 78155
42596 43248 96537
48743 27112 54601
19345 18682 77330
779 5076 24503
49901 12072 91249
41142 46068 57297
48759 18898 57529
45557 44425 5833
37300 14979 38301
17455 24676 25158
34324 18964 87210
11656 39186 343
30336 25282 89931
22821 2157 87439
10652 12875 12771
39509 33406 53095
17947 33643 54501
26704 17371 31780
107 6886 29416
18826 1789 70146
41419 46939 69246
41718 40192 60104
6804 16104 19952
31792 25659 90135
23353 44916 46560
16794 2499 69234
3769 225 3585
41797 20850 2468
45501 25380 43168
41710 12367 14001
3007 8134 59171
47777 40811 45319
49010 42924 7953
29013 17850 17443
23247 19002 46756
30742 44616 67688
1423 26126 10679
8414 24601 32534
25969 5904 51234
42745 39029 53059
32482 48325 54013
3731 29129 86616
7189 11436 95854
10078 40484 48592
49549 4099 46051
8601 34685 56899
11592 13143 94601
16026 10369 61340
39045 38697 54465
20174 30977 20787
48425 3849 91739
15104 41787 90617
23972 15358 14862
49215 11101 53388
5721 34898 29269
17941 41640 8273
21954 1641 13605
27020 6495 24904
47356 35181 72540
9986 42529 81612
4905 12254 95214
31597 13087 76119
10673 40745 25237
6446 9697 29020
15949 40004 11183
2376 7461 74449
24485 32042 22101
789 37637 77946
24915 38246 61366
48407 18705 64132
14076 36174 38418
30104 19138 45234
47348 24081 3165
43810 4709 1846
29562 2853 87413
12193 30445 57090
49320 15578 39650
6165 15373 89441
22237 19056 81347
20985 28893 76450
562 16572 84124
2099 3344 51189
15988 22036 6709
4539 38552 1548
23099 7276 81799
35809 42667 6642
17998 29748 72434
23730 36579 47724
22690 2582 46964
35294 4938 88180
12996 31245 35415
5597 22197 78044
11553 24405 14078
29286 17036 11246
1454 1325 57776
32515 41496 82352
29193 10585 12078
4126 46837 98371
47105 21593 92888
10975 22394 28059
5543 47148 23699
34279 34963 74920
41455 25311 26852
14942 13201 11543
47441 18477 2214
11432 39876 81008
18353 45732 55370
3503 39456 10138
40334 37795 44930
46358 25071 43164
45770 353 57398
39127 1313 78637
32946 6265 40350
26680 20764 85482
5249 10702 84236
11610 34215 74159
37520 35376 23463
26661 37738 80051
2581 34165 56803
37248 9184 32180
24287 3417 22813
29445 45678 38380
43399 9184 28629
40881 21094 91338
2761 48513 46638
44947 38181 4986
7759 13164 53214
42371 2101 82345
24236 34725 58241
37523 49122 52640
8 31598 65485
150 20514 98168
15861 47195 68527
9577 27151 46209
30220 25186 78735
40714 46922 33785
41846 12687 30510
11366 37920 90314
36367 49817 69743
17668 48473 64944
17768 24920 11687
28412 6054 50376
24297 37184 16232
17646 25425 37060
44040 33693 6161
16006 13219 28191
30682 46681 34955
9324 12020 91244
8239 48542 25520
38715 13570 66456
12946 10898 53751
1679 29977 60894
9158 263 11031
33010 11010 19367
1624 40499 84413
36750 8401 72353
23076 24606 73850
30011 27337 49894
13376 2425 18140
7289 25715 56936
30459 26590 65076
739 20127 58
44714 46025 49662
158 46619 39762
29977 4543 49332
10450 9868 41592
42860 1396 51923
49433 29140 9273
18512 9183 96639
11061 36237 47009
9404 40338 74620
5913 37817 68996
33170 2310 6524
21307 25420 38032
4023 4414 65332
17198 29908 83006
14172 48308 25888
43913 18242 97225
41381 43658 69079
46313 12562 7383
44865 45776 7343
116 45220 65126
32065 48408 93992
15088 24933 48806
10432 23806 23875
21747 8046 99046
8437 14446 52863
40071 43483 91753
10415 25036 10033
12057 16211 27672
36709 16687 95915
21520 42912 82877
40370 45733 15162
37649 13497 12043
22414 42412 20154
13120 19272 21704
48400 46002 41892
45967 18355 76410
13612 9115 81652
15126 10779 87595
24908 24521 93556
47250 40378 78192
45133 39154 44227
46240 33213 3571
37444 30532 90150
40366 3127 15605
13231 23074 37226
17637 31821 17602
22554 9363 58829
19478 21173 34777
2605 37806 44801
36068 10271 4651
47290 34510 12019
2820 14727 2887
32913 4167 40993
42466 18017 42612
28379 26848 29559
11033 19035 32600
32281 18990 47734
22935 27900 15368
10589 18688 76099
26579 18927 7442
13058 49041 16371
33165 44965 85172
27827 22810 27825
19096 41456 7155
48232 44664 84206
40507 41231 58663
1867 14389 7694
13869 14038 83991
12577 4869 23270
18230 38054 40644
36410 40858 81253
24873 27353 17403
9493 21695 34380
44922 34588 80217
42629 11916 43685
39554 38212 4265
5181 29530 65356
45437 11851 68707
24647 27377 96820
19963 30377 70421
22559 44720 39435
22905 18266 11133
8540 42519 5867
28192 35513 17206
35633 11756 51669
40079 18720 73970
38257 47459 25411
30155 16346 16443
17929 33049 63132
36354 4267 50562
31667 8602 91021
1285 30515 60847
5192 22706 20013
42387 35387 16849
19082 28295 4934
39734 8776 64138
47492 28853 86387
23176 11 22881
19114 44102 11023
5704 43354 26697
39975 15384 14706
44586 18051 19719
19604 36695 61292
4800 39319 6400
33567 29136 1099
42069 6578 2533
4669 19606 91764
2428 19473 43755
45775 4007 6506
15280 40079 20725
26193 10836 73372
5884 19770 29607
36312 13564 69788
49762 30786 74879
47963 27143 7401
6873 20767 32558
15046 19025 65455
16820 6092 39592
24955 19130 71800
31087 31589 7547
45750 10705 98066
47559 9366 97005
49807 45258 89015
29365 180 444
11926 22756 95680
49540 18275 91431
15526 10662 93079
46514 41233 54757
2472 33120 99927
41908 42531 68672
12703 41698 87160
2605 14840 2979
32228 571 47001
26658 33328 10994
3138 31054 58051
1090 43369 74921
29953 9587 72474
37522 16287 58185
21793 514 80283
5688 39255 93793
17985 41118 97065
7778 22525 68258
21477 17260 37251
17745 45340 22532
30049 36847 3286
24173 38052 78873
44154 45438 26356
37871 41375 81640
46990 22293 60420
21670 3548 244
4536 28844 63371
8985 29277 121
27847 47024 60851
22869 16211 57855
49129 46978 38124
18524 13683 27475
22180 44429 56537
30518 3959 75574
27009 40151 79173
5460 45870 60133
33941 41122 36924
3932 22587 94730
38290 11100 36775
17317 5168 29186
43460 32189 3934
24801 13299 78635
4155 8350 17030
14556 22768 33310
21790 46254 74521
5548 49602 28873
28181 13681 31628
5181 9301 3463
6969 11671 7121
23416 42035 56542
34808 5694 85738
48786 48115 60704
39900 37291 38470
35277 32820 23771
35760 45412 8141
2627 44976 39631
40920 15601 494
48372 7998 47228
34282 18163 92106
21147 28252 6567
40425 41630 56480
31425 25285 1528
40889 44182 23306
23139 41569 29252
8227 32832 28259
8505 26801 65825
20662 7812 35695
3861 36612 48499
48735 27984 28633
18519 46020 31909
11769 8051 30802
2690 31786 56279
28889 4278 42327
7699 26764 66566
16831 5490 27035
15383 30403 51232
9716 37950 70927
35224 17152 72540
35137 22042 39535
39462 26490 69105
426 49999 49500
33826 7659 72489
27296 12177 7705
33115 30846 84836
46726 39692 32034
12824 34454 68147
29904 4365 35712
35973 18168 43050
21153 43585 92007
30439 34510 52943
40446 3752 67861
18668 11295 37252
34504 11729 17717
27974 42427 98719
20446 31991 42000
1140 1520 12661
10116 35897 50921
45166 12417 16706
25209 35860 10760
5952 40990 76820
39883 35246 85782
10358 14120 51230
38311 10222 77466
4755 989 93658
27110 24241 4989
19148 20028 41164
27679 37923 81825
14334 7425 37687
44636 27515 41779
37996 22984 73253
18745 28517 2538
383 49747 74031
20894 45398 82034
40832 13044 87077
25427 25826 65776
40653 44319 90736
25264 26742 52502
8806 4394 90694
25638 4304 81048
8923 25032 55114
8000 2526 65036
36961 16007 48019
11358 47124 16194
35071 37492 68514
13680 49169 49132
39628 5358 5343
28909 34720 27352
18776 39619 18358
41144 25728 27396
8095 10312 41755
38452 43134 73781
18537 48276 61981
16039 42168 52281
47072 2772 64685
22093 22859 1859
29493 47947 78083
31658 5769 47709
20272 6604 64070
23872 39443 42331
8559 16542 14117
16340 166 83676
39217 45401 96739
14256 28855 53428
30349 17968 69603
9233 32913 8314
49694 28528 8131
36232 455 27791
42569 44725 90951
6006 4210 23627
49861 20213 26516
9528 31348 2118
29764 16554 69885
11768 6813 33053
21070 26799 38948
48239 49729 88340
18608 42461 72721
4611 22672 36025
5465 46089 87192
30240 33818 42163
3523 29018 60737
18606 22340 17198
20668 9335 59616
10354 48255 85799
6469 15768 20191
10205 44800 91786
31910 49591 60356
23090 42745 20093
19113 5336 4946
20981 33034 82006
5596 45798 79168
33073 26309 67034
46018 17594 44646
37812 26430 23645
7633 34141 3220
23662 19556 66337
3617 42998 16637
23389 45246 8915
37507 28141 71862
215 23350 6061
31776 32290 50903
48944 7496 3005
40505 36314 23307
8853 30764 51788
2749 33512 66732
47083 16305 16721
27862 5629 94854
13551 32192 31762
48102 35606 77171
19918 47335 42219
49294 31853 24998
30832 31724 75807
1456 64 22669
24792 24098 12622
33077 4884 13771
45824 22022 69517
18654 5066 4655
23327 41755 72096
45427 30983 79732
27276 27915 17538
25244 2712 92888
2395 28221 6525
30582 28498 88887
11473 1706 26811
2226 13493 78750
29174 43828 6370
29893 43736 28390
33635 11678 42863
14216 5055 61915
7266 19464 72083
26403 35839 56791
1819 44431 24090
13932 23192 8286
13045 20917 62110
18774 21973 39993
3167 22552 23966
40855 13884 89101
27052 36014 79937
41981 41495 78242
45972 14591 86296
27955 21107 62513
45312 46297 55956
1280 8067 95122
15290 13617 15789
14638 33915 73897
32347 18605 82063
38897 24776 37260
3336 24483 45382
33308 48542 96787
3620 24910 3845
39774 4485 92335
11086 7250 55248
32917 14654 29990
12538 30933 72006
15324 20991 13978
2032 20729 17853
46722 49442 13983
869 27336 27104
21564 7626 72253
27968 883 5298
5309 4784 9361
13163 28982 49519
34061 7156 16472
3484 11224 86084
5965 38868 92148
28496 34968 6903
6383 144 63821
14510 8916 87602
37973 49220 11604
27716 34656 62809
42625 28344 94360
22153 18019 35405
38024 4221 29407
21570 4862 68052
42241 48507 50597
15324 36025 18482
13172 39617 21531
1101 29621 10691
15308 2690 5227
37616 16587 14945
35221 462 99793
20083 16271 65493
6920 23030 97621
24062 46198 77075
286 29529 87923
342 40965 35541
15371 35543 28584
9280 26557 14435
19482 37658 15927
42262 12794 60616
28306 49229 58408
40087 2370 74779
33827 22138 82707
37693 15259 48718
2210 30479 27298
48224 16525 46726
22522 43981 20738
1095 26296 40834
36559 4417 65525
5446 2003 29917
42865 7810 18722
32173 35359 86802
17234 10736 38879
35805 5346 69221
47365 765 99943
20 9282 19515
40104 25991 5115
40076 20219 85475
44725 37272 45046
8247 17041 57386
15721 41064 13273
3997 15179 48485
15126 23884 68102
25332 43792 47269
24631 33450 53449
31633 8767 83369
35520 891 31218
6805 849 34273
1199 1948 61673
32725 20152 58240
49256 21119 97360
24681 12696 67635
8042 19272 4028
14091 19059 44075
24406 47707 43298
41069 36193 15671
40513 12841 77756
27994 8492 24895
33477 19632 6847
10835 46870 23393
16674 10789 86274
11635 9221 49256
17095 33217 24714
9540 29747 61726
39037 37133 34018
29502 34780 87171
25434 5036 61098
30163 27399 54973
43335 26581 73098
41803 622 3321
33451 31554 65657
11556 16913 28255
29438 28932 34879
9121 36962 67961
4087 1207 93591
23226 49314 18133
1834 26183 44776
19927 32493 85476
29790 5590 12515
19954 12768 47153
27716 16251 512
31228 6569 73511
19626 9489 44770
1220 30285 13720
32586 11495 29631
49538 39189 91654
38489 1211 42577
44242 35167 1999
27965 22209 81457
31184 5145 30990
41437 15735 14347
20195 30250 43075
48709 25167 10353
34088 45055 32843
42288 21604 21665
9821 44950 35003
45558 43495 92746
49236 44889 19387
10396 16374 11546
20624 28879 22982
12434 47604 34974
22645 29712 54521
46433 29770 9257
1101 6013 95671
15035 4492 6447
5313 39192 36757
3944 45768 63340
22458 4711 68628
31053 15915 95628
37698 23031 87506
42486 22192 37457
24195 36708 42476
33088 41736 49444
24532 44721 80685
36588 12125 44346
5550 11160 12170
29631 39600 43626
35434 43043 89549
6438 44770 33318
3881 27655 98882
3103 984 32706
6045 35243 6914
18339 27780 73243
28045 40559 40568
42950 34941 88109
12491 44121 2529
31586 16147 54728
26916 15589 58588
3266 26490 73731
37451 19154 59234
34655 18225 85462
17738 14438 88920
10172 23883 93793
14524 6490 58009
45025 24407 32000
37763 35230 53409
21905 16315 64485
2818 22535 32950
3377 32447 89859
44780 46634 30113
31634 9554 42796
33579 751 11791
39953 35325 14967
48888 10933 80226
